,time,open,close,high,low,volume
127,2020-05-05,206.59,205.4,212.1,201.28,95247.18590877
128,2020-05-06,205.32,198.96,211.02137482,198.09,72602.88622741
129,2020-05-07,198.94,212.19,215.6,196.78,133195.15519387
130,2020-05-08,212.24,211.34,217.12,206.77,89565.23652428
131,2020-05-09,211.25,209.94,214.65,208.33,53652.04059474
132,2020-05-10,209.88,187.71,209.88,179.44,495328.91327584
133,2020-05-11,187.65,185.6,193.68,175.71562736,132290.87876459
134,2020-05-12,185.59094781,189.77422427,192.41,185.57,62645.49551514
135,2020-05-13,189.77422427,199.89286755,201.33,188.46,60699.30817817
136,2020-05-14,199.89,203.23,206.0,195.93,64417.96767304
137,2020-05-15,203.37,194.6,204.2,191.57,56795.0190657
138,2020-05-16,194.59416522,200.46,203.61,193.36,41915.49094681
139,2020-05-17,200.47,206.9,210.0,199.79,68507.96765053
140,2020-05-18,206.97,214.56,217.0,206.9,85547.37933147
141,2020-05-19,214.59,214.49,215.68,209.11,54246.44132302
142,2020-05-20,214.51,209.63,215.64,205.96,104025.6234364
143,2020-05-21,209.68,198.54,211.47,191.7,137601.17101988
144,2020-05-22,198.55,207.51,209.29,196.26,56288.60290154
145,2020-05-23,207.5,206.82412758,211.5,204.57,30862.48166926
146,2020-05-24,206.8,199.51,210.89,199.51,74241.64797874
147,2020-05-25,199.6062203,204.06694932,205.71,198.0,31017.45300764
148,2020-05-26,204.06787304,201.23,205.0,196.7,32663.15689463
149,2020-05-27,201.12,208.55,208.55,201.03,46266.17939935
150,2020-05-28,208.54836721,220.65,221.01221763,204.77,59396.24178688
151,2020-05-29,220.6,220.55,224.91,217.8,55334.34375612
152,2020-05-30,220.54536752,243.58,247.0,219.0,151520.42706569
153,2020-05-31,243.64,231.53377558,245.3,229.9,73026.23484501
154,2020-06-01,231.39,248.82,251.74,230.5,100205.44483896
155,2020-06-02,248.82330165,237.61,253.69,225.29623567,170446.82452211
156,2020-06-03,237.75,244.8289431,245.1,233.32,50935.34021814
157,2020-06-04,244.85,243.43,246.53,236.14,67027.08290222
158,2020-06-05,243.39,240.0152715,248.0,239.1,40887.37517374
159,2020-06-06,240.01,242.18,244.64,238.0,30102.3750948
160,2020-06-07,242.1010322,244.73,245.51,234.81,57612.54907597
161,2020-06-08,244.78,246.6,247.9,241.28,27714.53533713
162,2020-06-09,246.52,243.85075319,249.97,238.18,47858.7264427
163,2020-06-10,243.88,248.14,250.53480726,241.57,71290.60281946
164,2020-06-11,248.42,230.41,250.48,225.96,152679.65304721
165,2020-06-12,230.31,237.65,239.4,228.45,54871.95960741
166,2020-06-13,237.65,238.48,238.91,233.89,37206.89087582
167,2020-06-14,238.48,231.9,238.78,229.9,76662.21709075
168,2020-06-15,231.9,231.13,233.83,218.2,106446.70486469
169,2020-06-16,231.14,235.69,236.0,228.96,44629.72917301
170,2020-06-17,235.64,234.23,237.85,228.22,53635.58681227
171,2020-06-18,234.16,231.69,234.87,227.86135023,19653.90532196
172,2020-06-19,231.5,229.09,231.98,226.36286212,29125.1521745
173,2020-06-20,229.05,229.23,230.86827992,225.59,27027.99339025
174,2020-06-21,229.22,227.8,231.71,227.3,23280.28925369
175,2020-06-22,227.7970864,243.41,247.0,227.49,124086.48110746
176,2020-06-23,243.49,243.49,245.4619481,241.04,46541.65802174
177,2020-06-24,243.49,234.77305078,249.77,230.98,90955.31216693
178,2020-06-25,234.68,232.69,235.58,227.65,54625.14335517
179,2020-06-26,232.69,229.82,233.61,227.6598606,34465.11013973
180,2020-06-27,229.83,221.13,231.24,216.0,56790.42250297
181,2020-06-28,221.03,225.32,228.04039843,218.0,37466.85755984
182,2020-06-29,225.12041114,228.05,230.0,221.36,30415.41216066
183,2020-06-30,228.07,225.8007107,228.85,223.2,16432.0805445
184,2020-07-01,225.88,231.30955683,233.20878641,224.64,35692.81841026
185,2020-07-02,231.29,226.56897154,232.39,223.0,44643.44952339
186,2020-07-03,226.66,225.33,228.39,224.46,12221.55473293
187,2020-07-04,225.21,229.6,230.97,224.77685483,14909.31344638
188,2020-07-05,229.59,227.94,229.94,223.54,21488.50475165
189,2020-07-06,227.94,242.13,242.38,227.22,64925.08061381
190,2020-07-07,242.15,239.63055724,244.0,234.87,59151.37379378
191,2020-07-08,239.64,247.34834196,249.2,238.42,59762.64127679
192,2020-07-09,247.46,242.4,248.0,238.16,56876.65467235
193,2020-07-10,242.37,241.55,242.38,235.5,28116.41894199
194,2020-07-11,241.57732327,239.47,242.07,237.70314031,17564.87167004
195,2020-07-12,239.54904278,243.08,244.5,237.06,32454.56752632
196,2020-07-13,243.29,239.9,245.61864751,237.86,37628.51395989
197,2020-07-14,239.9,240.56,242.30706486,237.3,21865.28518406
198,2020-07-15,240.62,238.94093211,241.6148884,237.33,19682.52245673
199,2020-07-16,238.94,233.96,239.52,229.35,79257.30725696
200,2020-07-17,233.94490762,233.18,234.86018029,232.43,18165.79034309
201,2020-07-18,233.04,236.19024638,237.09,232.6,13382.67057561
202,2020-07-19,236.12485336,239.58,240.53,233.67,21305.03271571
203,2020-07-20,239.67,236.43,240.31,234.67,23617.26042354
204,2020-07-21,236.45,246.0,247.34,236.18,68514.69236552
205,2020-07-22,246.04,264.62878928,270.55,242.2,108885.23222509
206,2020-07-23,264.7,275.78,280.84,260.41,146673.95422058
207,2020-07-24,275.58200132,279.85,287.78,268.44375403,119430.41960094
208,2020-07-25,279.91,305.87,309.12,279.91,175226.05470768
209,2020-07-26,305.73,311.62,321.0,300.19,159414.85391187
210,2020-07-27,311.5091808,322.31,333.45,310.94,280978.22804644
211,2020-07-28,322.4,317.51,327.5,306.0,123463.82906934
212,2020-07-29,317.46,318.46,326.89,312.89,118429.60257243
213,2020-07-30,318.46,335.42872407,342.37,314.52,89569.97540347
214,2020-07-31,335.36,346.82,348.8,329.08,145813.10173272
215,2020-08-01,346.81495481,387.15,392.24,343.46,214176.49261159
216,2020-08-02,387.03,371.87,415.0,320.0,322415.93795846
217,2020-08-03,372.06041755,385.68,397.66,366.79,126895.68407959
218,2020-08-04,385.77,389.6,401.74,380.5,121244.38172924
219,2020-08-05,389.63,400.8469632,408.83,383.52,109152.03946177
220,2020-08-06,400.73,394.7,403.3,390.5,55053.64236756
221,2020-08-07,394.7,379.03,398.0,362.27780062,157995.75187707
222,2020-08-08,378.86,396.88,397.0,375.9,43688.28019488
223,2020-08-09,396.83,390.05855616,400.24,382.45,60886.72845455
224,2020-08-10,390.19,395.87,400.4,385.02135,79101.58421536
225,2020-08-11,395.86,378.95,398.4,365.75,95794.31618859
226,2020-08-12,378.58,388.4,389.74,366.0,57825.51895408
227,2020-08-13,388.4,425.24,431.98644431,376.62,178936.55462853
228,2020-08-14,425.24048515,438.18,444.0,418.5,135322.52402189
229,2020-08-15,438.29,432.93,443.4,426.1,57669.10195392
230,2020-08-16,433.18,434.32,437.48,412.82,56047.60458106
231,2020-08-17,434.55,431.61,448.47,421.05,144916.48763211
232,2020-08-18,431.61395316,422.2,434.85,413.71,76401.79675316
233,2020-08-19,422.19333516,408.67,427.11,396.0,152530.23120917
234,2020-08-20,408.46,416.79,419.61,402.42,70408.1351573
235,2020-08-21,416.58,388.09,419.22,385.5,85804.43929299
236,2020-08-22,387.84,395.86926344,397.48,380.06,52196.43974706
237,2020-08-23,395.82,391.22,397.49,384.14,22386.64716217
238,2020-08-24,391.1,408.4,410.69,388.08,49970.51714735
239,2020-08-25,408.22,383.69,409.2,370.5,99187.87886946
240,2020-08-26,383.61,386.01,393.52,377.8,43315.12765475
241,2020-08-27,386.27,383.42,398.0,371.7,70584.75552127
242,2020-08-28,383.7,395.94,398.97,380.66,42329.1576
243,2020-08-29,395.73,399.29,406.58,392.42,50935.51229792
244,2020-08-30,399.31,429.93,430.0,399.03,75803.52566997
245,2020-08-31,429.55,434.61494952,440.16,418.44,65735.67298203
246,2020-09-01,434.48362427,476.19,488.85,430.2,200849.2164161
247,2020-09-02,476.03813054,439.9,482.02923597,417.9,209242.72432755
248,2020-09-03,440.04668284,382.0,450.7,371.57,313396.7128743
249,2020-09-04,382.06,386.35429997,400.8,355.5,167949.25818348
250,2020-09-05,386.36,336.02,395.61,310.38,326912.24918034
251,2020-09-06,335.99831978,353.2820405,360.98612226,317.2,140599.36727225
252,2020-09-07,353.52,354.34,359.25,324.23,111294.05595825
253,2020-09-08,354.34,338.0,357.52,326.0,100546.20226275
254,2020-09-09,338.0,351.4,359.72,331.55168222,65347.45326798
255,2020-09-10,351.6,368.38962511,378.34,351.0,96987.676275
256,2020-09-11,368.38,374.19,375.94054344,356.11,76646.48749712
257,2020-09-12,374.14,388.1,388.99,365.15,59788.83856505
258,2020-09-13,388.1,366.25,391.23,354.01,79190.15293491
259,2020-09-14,366.24081414,377.43,385.0,356.28,73482.01299596
260,2020-09-15,377.43,364.46,382.96,362.76072133,47635.47237443
261,2020-09-16,364.40337879,365.69,374.4,355.8,54745.55725695
262,2020-09-17,365.71463688,390.1,394.94,363.94,92448.53967516
263,2020-09-18,390.0,384.99207378,393.0,375.78,42757.82188864
264,2020-09-19,384.99207378,386.16365194,389.3,378.00609871,23994.81434613
265,2020-09-20,386.16,371.74703576,386.34,366.25,92157.65567413
266,2020-09-21,371.62,340.78,377.59144509,332.1,152572.87081831
267,2020-09-22,341.0,344.65,347.42557348,335.91,51987.88000714
268,2020-09-23,344.72,321.26,345.15246147,313.81,112656.12267939
269,2020-09-24,321.37007352,349.5,353.85,317.52286593,130585.78066621
270,2020-09-25,349.47,352.65,358.65,338.25,64672.70547197
271,2020-09-26,352.61565493,354.62936345,357.14,346.46,34492.07594518
272,2020-09-27,354.91209986,358.46,363.0,347.6,55479.54444947
273,2020-09-28,358.56,354.55,368.59,352.71,56652.73467139
274,2020-09-29,354.54938179,360.61,361.33,351.14,25085.67812746
275,2020-09-30,360.66998174,360.28,361.99,352.34,20324.06950106
276,2020-10-01,360.45299625,353.48,371.2,345.85,62726.33890377
277,2020-10-02,353.29,346.03,354.90365621,335.0,87052.91755948
278,2020-10-03,346.24,346.51,351.64,344.44389264,20357.86129195
279,2020-10-04,346.42,352.96,354.98,344.56,25135.76968675
280,2020-10-05,352.97,354.23,356.77,349.29,20539.44527352
281,2020-10-06,354.26,341.09,355.84,337.37,48454.00609912
282,2020-10-07,341.08581595,342.34927507,343.3,333.25,52531.54015941
283,2020-10-08,342.31,351.5,353.97,334.41,65270.06105368
284,2020-10-09,351.73478772,365.7,369.0,348.09,39283.73521213
285,2020-10-10,365.71,371.17,379.0,365.62,37604.60580667
286,2020-10-11,371.15,374.5,378.0,369.51,17462.04447021
287,2020-10-12,374.65,387.5738248,395.8,365.93700532,78931.23017786
288,2020-10-13,387.39,381.77,388.31,375.21,37598.72219826
289,2020-10-14,381.74,379.40936416,388.47,373.51,37750.60262478
290,2020-10-15,379.37151452,377.96,382.79,370.42,33549.12792315
291,2020-10-16,377.9,365.75,380.20325028,361.47,59268.25820399
292,2020-10-17,365.82,368.77,371.0,363.65,23536.24067709
293,2020-10-18,368.68,378.74,379.05,367.87,30160.7834482
294,2020-10-19,378.75,379.63,384.5,373.05,35175.45535755
295,2020-10-20,379.63046942,368.8,381.11877378,365.0,59090.13265544
296,2020-10-21,368.79,391.37,401.41,368.11,133501.21339848
297,2020-10-22,391.28,414.31,421.29,391.27,149342.61241706
298,2020-10-23,414.3,409.58,419.77,402.09,62251.39771688
299,2020-10-24,409.58359673,412.49,417.0,406.93,39313.58426647
300,2020-10-25,412.54,406.09,417.82,403.55,33116.69943774
301,2020-10-26,405.97,392.68,411.56,382.2,94828.96519716
302,2020-10-27,392.80996057,403.02,409.78,390.21,58004.05909261
303,2020-10-28,403.22,388.39,409.45,380.5,61360.39858446
304,2020-10-29,388.47236904,387.06,393.71,380.5,31174.14080743
305,2020-10-30,386.9,382.9,392.22233091,373.2,45345.44505825
306,2020-10-31,382.90539189,386.47,394.28,380.78,41095.13012155
307,2020-11-01,386.32658693,396.56,397.49,384.68,27522.64236163
308,2020-11-02,396.66,383.35,404.91,377.86,67272.73680774
309,2020-11-03,383.35,388.174976,390.29230067,370.52,41414.56033361
310,2020-11-04,388.17353075,402.69,408.91566465,376.82828288,91653.007141
311,2020-11-05,402.78,416.16,420.0,395.1350624,119086.63346475
312,2020-11-06,416.32,455.58902156,457.7,414.56,147754.85973737
313,2020-11-07,455.65,435.96,467.75,426.29669182,234669.03631153
314,2020-11-08,435.95507314,455.09,460.26,432.88,67836.87265927
315,2020-11-09,455.09,444.53,459.08986232,434.16776623,70693.12318937
316,2020-11-10,444.54,450.65,455.41,439.27,45812.48074544
317,2020-11-11,450.59,463.81,476.86,449.75,101461.71749308
318,2020-11-12,463.81,462.37,471.15,451.99,84610.29118265
319,2020-11-13,462.45,476.13,477.0,457.15,88926.91471022
320,2020-11-14,476.3,460.53,477.27,451.8,70908.35781863
321,2020-11-15,460.54,448.5,462.65,440.26,57120.34082216
322,2020-11-16,448.41720943,460.45,466.28,446.05,47304.05212015
323,2020-11-17,460.66,482.51,484.3560704,460.23,86404.06062195
324,2020-11-18,482.5168076,478.46,495.07,457.5,203344.01584055
325,2020-11-19,478.450469,471.58,480.85,463.34,39368.15538757
326,2020-11-20,471.44,510.3,513.74,470.86,142063.32509682
327,2020-11-21,510.3,551.19,551.69,502.2,194454.95433854
328,2020-11-22,551.42,558.0,579.8,512.0,250240.42912334
329,2020-11-23,558.0,608.32,609.53,549.6,228933.5218773
330,2020-11-24,608.42,604.11,621.47,587.73163899,166752.73484373
331,2020-11-25,604.18,569.6,605.0,555.05,99477.78760436
332,2020-11-26,569.63,521.5,577.26,483.43,376087.37404428
333,2020-11-27,521.53,519.55,533.08,495.25,108385.44802954
334,2020-11-28,519.55,538.14,548.29,507.88,51930.73990488
335,2020-11-29,538.09,576.37,576.68,531.2,55396.47359342
336,2020-11-30,576.37,616.0,616.0,570.04,162105.27688957
337,2020-12-01,616.0,587.03,636.33,562.48,329191.67379563
338,2020-12-02,587.03,598.0,606.26,575.89,80675.1450516
339,2020-12-03,597.88,616.66,624.5,586.38,80480.72569667
340,2020-12-04,616.41,567.66,620.60596056,565.08,168951.95629418
341,2020-12-05,567.6,597.21,598.0,558.86,55953.09770474
342,2020-12-06,597.55,602.69,607.19,583.42,49690.37490312
343,2020-12-07,602.69,591.82,603.8,584.78,37366.38412534
344,2020-12-08,592.02,555.03,595.71,550.15,60973.02171492
345,2020-12-09,555.0,573.64,589.0,532.01152039,87249.41882168
346,2020-12-10,573.47,559.02,575.61,548.72,37186.99224249
347,2020-12-11,559.17,544.93,560.7,535.44859534,60786.45349574
348,2020-12-12,544.85,568.24,574.05,543.9,33189.69680608
349,2020-12-13,568.3,591.1,595.84,563.58,46853.16441373
350,2020-12-14,591.18,586.52,592.07,576.22,23374.76697014
